번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
241,참사랑실버케어,서울특별시 강서구 화곡동 ,,20160316,운영중,,,,,,,41,23,5,,,운영
242,우리네요양원,서울특별시 강북구 번동 ,,20161020,운영중,,,,,,,11,4,4,,,운영
243,실버빌노인요양원2호점,서울특별시 도봉구 창동 ,,20170103,운영중,,,,,,,23,,,,,운영
244,서울실버재활요양원,서울특별시 도봉구 도봉동 ,,20180108,운영중,,,,,,,99,,,,,운영
245,러빙케어,"서울특별시 노원구 상계동 상계동센트럴타워 207, 307호",,20180101,운영중,,,,,,,28,14,15,,,운영
246,행복가득요양원,서울특별시 서대문구 북가좌동 ,,20171101,운영중,,,,,,,25,,15,,,운영
247,정진요양원,서울특별시 성북구 정릉동 정진빌딩 ,,20180201,운영중,,,,,,,49,,,,,운영
248,가산노인요양원,경기도 부천시 원미구 상동 아트프라자 206호 ,,20130201,운영중,,,,,,,29,,,,,운영
249,어르신요양센터,"경기도 용인시 수지구 풍덕천동 945 신건프라자 4,5층 ",,20100301,운영중,,,,,,,49,,,,,운영
250,우리요양원,경기도 군포시 산본동 1097번지 진달래각 3층 ,,20120910,운영중,,,,,,,29,,14,193761.997435       ,429149.380065       ,운영
251,우리요양원,경기도 군포시 산본동 1097번지 3층 ,,20120911,운영중,,,,,,,29,,,193761.997435       ,429149.380065       ,운영
252,덕수노인센터,서울특별시 영등포구 영등포동4가 153-1번지 ,,20110311,운영중,,,,,,,24,1,10,191256.01717        ,446425.984843       ,운영
253,샬롬요양원,경기도 부천시 원미구 상동 531-3 광장프라자5층 ,,20090605,운영중,,,,,,,35,,,,,운영
254,구립영등포실버케어센터,서울특별시 영등포구 신길동 242-7번지 ,,20100301,운영중,,,,,,,16,1,8,192266.803112       ,444749.738015       ,운영
255,사랑요양원,서울특별시 영등포구 양평동1가 120-40번지 ,,20100301,운영중,,,,,,,41,2,20,190153.93098        ,446853.631192       ,운영
256,노인요양시설고향,경기도 부천시 원미구 상동 533-3번지 아트프라자 3층 ,,20070627,운영중,,,,,,,,,,,,운영
257,은혜실버센터,경기도 부천시 원미구 상동 544-1번지 ,,20100301,운영중,,,,,,,,,,,,운영
258,글라라의집,경기도 시흥시 조남동 174-27번지 ,,20080611,운영중,,,,,,,,,,187255.163494       ,431252.502611       ,운영
