기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	강서구	소계	580,506	286,324	294,182	50,189	20,854	29,335
2010	강서구	염창동	42,912	21,259	21,653	2,638	1,059	1,579
2010	강서구	등촌1동	21,771	10,783	10,988	1,847	794	1,053
2010	강서구	등촌2동	22,781	11,450	11,331	1,693	734	959
2010	강서구	등촌3동	38,157	18,268	19,889	4,106	1,458	2,648
2010	강서구	화곡본동	36,755	18,107	18,648	2,799	1,212	1,587
2010	강서구	화곡2동	21,063	10,387	10,676	1,664	756	908
2010	강서구	화곡3동	24,305	11,858	12,447	2,176	946	1,230
2010	강서구	화곡4동	23,284	11,620	11,664	2,063	912	1,151
2010	강서구	화곡6동	25,284	12,547	12,737	2,029	879	1,150
2010	강서구	화곡8동	27,888	13,709	14,179	2,303	1,069	1,234
2010	강서구	가양1동	21,369	10,759	10,610	1,475	640	835
2010	강서구	가양2동	18,492	8,917	9,575	2,380	816	1,564
2010	강서구	가양3동	19,459	9,402	10,057	2,292	836	1,456
2010	강서구	발산1동	33,861	16,388	17,473	2,462	966	1,496
2010	강서구	공항동	22,657	11,812	10,845	2,175	950	1,225
2010	강서구	방화1동	31,986	16,090	15,896	2,801	1,194	1,607
2010	강서구	방화2동	26,583	13,171	13,412	3,008	1,227	1,781
2010	강서구	방화3동	28,080	13,636	14,444	3,026	1,167	1,859
2010	강서구	화곡1동	53,298	26,431	26,867	4,479	2,048	2,431
2010	강서구	우장산동	40,521	19,730	20,791	2,773	1,191	1,582
2010	구로구	소계	452,667	229,189	223,478	38,829	17,387	21,442
2010	구로구	신도림동	37,302	18,524	18,778	2,668	1,195	1,473
2010	구로구	구로1동	29,950	15,147	14,803	1,429	558	871
2010	구로구	구로3동	28,333	14,388	13,945	2,034	927	1,107
2010	구로구	구로4동	30,043	15,143	14,900	2,834	1,222	1,612
2010	구로구	구로5동	34,048	17,238	16,810	2,778	1,276	1,502
2010	구로구	고척1동	26,739	13,481	13,258	2,411	1,045	1,366
2010	구로구	고척2동	31,706	16,123	15,583	2,872	1,315	1,557
2010	구로구	개봉2동	35,670	17,653	18,017	3,131	1,496	1,635
2010	구로구	개봉3동	22,474	11,224	11,250	2,077	939	1,138
2010	구로구	오류1동	21,643	10,846	10,797	2,229	992	1,237
2010	구로구	오류2동	29,613	15,008	14,605	2,852	1,292	1,560
2010	구로구	수궁동	25,688	12,947	12,741	2,347	1,017	1,330
2010	구로구	가리봉동	23,204	12,671	10,533	1,799	791	1,008
